rank,symbol,shares,close,target_value,amount20_m,is_st
1,sh.688184,700,10.8,7560,588.0,True
2,sz.002883,800,9.21,7368,746.1,True
3,sz.000605,1300,5.91,7683,2233.5,False
4,sh.688426,300,22.03,6609,3156.6,False
5,sz.300126,1100,6.64,7304,2592.8,False
6,sh.688638,200,33.72,6744,1720.1,False
7,sh.688217,300,25.38,7614,2174.0,False
8,sh.600543,1900,4.12,7828,736.9,True
9,sz.002200,1200,6.57,7884,2764.8,False
10,sz.002872,1300,6.03,7839,2822.4,True
11,sz.003008,400,19.68,7872,2402.8,False
12,sz.001333,300,20.13,6039,2829.4,False
13,sh.688528,700,10.21,7147,1856.9,False
14,sh.603377,2400,3.24,7776,1353.8,True
15,sh.688189,1100,6.62,7282,1810.5,True
16,sh.600381,1800,4.26,7668,2734.5,True
17,sz.002732,500,14.24,7120,2311.6,False
18,sz.002381,1400,5.59,7826,2438.5,False
19,sh.603789,1300,6.06,7878,1670.3,True
